about_link,thumb_link,year_end,year_begin,title,format,source,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,relation,location 1,location 2,location 3,location 4,location 5,identifier,description,type,rights,publisher,language,creator 1,creator 2,creator 3,creator 4,contributor 1,contributor 2,contributor 3,contributor 4,contributor 5
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/64,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/64,,,"Young Bear, Winnebago",1 portrait photograph; image 12.6 x 18.2 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Winnebago Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 52 AP 1646

ap1646box52_o2.jpg",Portrait photograph of Young Bear. See also Ayer Photographs box 52 AP 1647.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department Newberry Library 60 West Walton Street, Chicago IL 60610. Phone: (312) 255-3566/ Email: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/65,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/65,,,"Ta-tan-ka-wa-kan (Sacred Bull), Yankton Dakota",1 portrait photograph; image 12.6 x 18.3 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 54 AP 582

ap582box54_o2.jpg",Sacred Bull photographed sitting,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/66,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/66,,,"Wa-hu-ke-zi-nompa (Two Lance), Yankton Dakota",1 portrait photograph; image 12.5 x 18.3 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 54 AP 588

ap588box54_o2.jpg",Yankton man photographed sitting,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/67,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/67,,,"Smutty Bear and man, Yankton Dakota",1 portrait photograph; image 12.5 x 18.2 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 53 AP 568

ap568box53_o2.jpg","Portrait photograph of Smutty Bear with an unknown man. Subject of portrait also known as Ma-to-sa-bi-cha. See also box 53, AP 567 and AP 569.",Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/68,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/68,,,"Mother and child, Dakota",1 carte de visite; image 5.7 x 9.2 cm; on sheet 6.2 x 10.2 cm Albumen prints; Cartes de visite; Photographs; Portraits Tiff,,Indians of North America,Siouan Indians,Indian women,Indian children,Mother and child,Mothers,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 76 AP 3069

ap3069box76_o2.jpg","Photograph of an Indian mother and her sleeping child. Written on the mount,""A Sioux Mother.""",Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,"Upton, B. F. (Benjamin Franklin)",,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/69,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/69,,,"Nazulatanka, Upper Yanktonai Dakota",1 portrait photograph; image 12.6 x 18.1 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,Yanktonai Indians,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 55 AP 617

ap617box55_o2.jpg",Portrait photograph of Nazulatanka in profile,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/70,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/70,,,"Zin-tka'-chi-stin (Little Bird), Yankton Dakota",1 portrait photograph; image 12.6 x 18.2 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 54 AP 594

ap594box54_o2.jpg",Portrait photograph of Little Bird standing,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/71,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/71,,,"Pi-pi-sha (Red Lodge), Cuthead Dakota",1 portrait photograph; image 12.6 x 18.3 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits jpeg,,Indians of North America,Winnebago Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 53 AP 387

ap387box53_o2.jpg",Portrait photograph of Yankton man,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/72,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/72,,,"Minnesheck, Black Hawk, John M. St. Cyr, Winnebago",1 portrait photograph; image 14.1 x 18.9 cm; on sheet 17.8 x 22.8 cm Albumen prints; Portraits; Photographs Tiff,,Indians of North America,Winnebago Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 52 AP 1622

ap1622box52_o2.jpg","Portrait photograph of Minnesheck, Black Hawk, and John M. St. Cyr",Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/73,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/73,,,"Matonompa (Two Bears), Yanktonai Dakota",1 portrait photograph; image 12.5 x 18.1 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,Yanktonai Indians,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 55 AP 611

ap611box55_o2.jpg","Portrait photograph of Two Bears, sitting in profile",Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/74,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/74,,,"Squaw of the Man who Packs the Eagle, Cuthead Dakota",1 portrait photograph; image 12.6 x 18.3 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits jpeg,,Indians of North America,Winnebago Indians,Indian women,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 53 AP 391

ap391box53_o2.jpg",Portrait photograph of Yankton woman,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
