about_link,thumb_link,year_end,year_begin,title,format,source,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,relation,location 1,location 2,location 3,location 4,location 5,identifier,rights,publisher,type,creator 1,creator 2,language,description,contributor 1,contributor 2,contributor 3
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/509,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/509,1925,1900,"Windmill near Chicago, early 20th century
","
Photographs
tiff","
","Windmills
",,,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago Suburban Area
",,,,,"

mms_sloan_bx_2_fl_55_13_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Near Chicago""--Photograph verso. Unidentified windmill.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/510,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/510,1925,1900,"Lakeside Press Building, Chicago, early 20th century
","
Photographs
tiff","
",Commercial buildings,"Lakeside Press (Chicago, Ill.)",Publishers and publishing,"Printing presses
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 32

mms_sloan_bx_1_fl_32_13_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Lakeside Press, 731 Plymouth Pl.""--Photograph verso. R.R. Donnelly & Sons Company, Printers and Binders.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/511,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/511,,1913,"Saint Nicholas Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 18

mms_sloan_bx_1_fl_18_01_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St. Nicholas, 113th and State St.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/512,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/512,1925,1900,"Albert R. Sabin public school, Chicago, early 20th century
","
Photographs
tiff","
",Schools,School buildings,"Public schools
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 40

mms_sloan_bx_1_fl_40_04_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Sabin School from S.E""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/513,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/513,1925,1900,"Glencoe Methodist Church, Glencoe, Illinois, early 20th century
","
Photographs
tiff","
",Churches,Church buildings,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Glencoe
",,,,,"Midwest MS Sloan Box 2 Folder 42

mms_sloan_bx_2_fl_42_09_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""M.E. Church; Gothic Church; Hazel and Greenleaf Ave., Glencoe""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/514,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/514,1925,1900,"Fort Sheridan building, Fort Sheridan, Illinois, early 20th century
","
Photographs
tiff","
",Towers,Fortification,"Bunkers (Fortification)
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Fort Sheridan
",,,,,"Midwest MS Sloan Box 2 Folder 43

mms_sloan_bx_2_fl_43_14_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Ft. Sheridan tower""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/515,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/515,,1915,"House, Illinois, 1915
","
Photographs
tiff","
",Housing,Dwellings,"Architecture, Domestic
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois
",,,,,"Midwest MS Sloan Box 2 Folder 49

mms_sloan_bx_2_fl_49_07_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Lake Forest?, Sheridan Rd.; 1915""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/516,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/516,1925,1900,"Art Nouveau building, Forest Park, Illinois, early 20th century
","
Photographs
tiff","
",Buildings,"Art nouveau (Architecture)
",,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Forest Park
",,,,,"Midwest MS Sloan Box 2 Folder 43

mms_sloan_bx_2_fl_43_04_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"Unidentified building. ""Forest Park, entrance tower; Art Nouveau; gone""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/517,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/517,,1913,"Saint Adalbert Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 28

mms_sloan_bx_1_fl_28_03_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St. Adalbert's Church, 17th St. and S. Paulina""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/518,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/518,1925,1900,"Second Presbyterian Church of Chicago, Chicago, early 20th century
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 25

mms_sloan_bx_1_fl_25_02_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""2nd Presbyterian Michigan Blvd., and 20th St.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/519,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/519,,1916,"House, Oak Park, Illinois, October 15, 1916
","
Photographs
tiff","
",Housing,Dwellings,"Architecture, Domestic
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Oak Park
",,,,,"Midwest MS Sloan Box 2 Folder 46

mms_sloan_bx_2_fl_46_08_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Mr. Gardner residence; 312 N. Kenilworth Ave., Oak Park; October 15, 1916""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/520,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/520,1925,1900,"J. Allen Haines residence, Winnetka, Illinois, early 20th century
","
Photographs
tiff","
",Housing,Dwellings,"Architecture, Domestic","Architecture, Colonial
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Winnetka
",,,,,"Midwest MS Sloan Box 2 Folder 48

mms_sloan_bx_2_fl_48_01_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Colonial House.; 854 Prospect Ave., Winnetka; W.A. Ottis and Ed. H. Clark Archt., Allen Coen, Asst.; owner J. Allen Haines""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/521,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/521,,1913,"Saint Leo Catholic Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 16

mms_sloan_bx_1_fl_16_17_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St. Leo's - Magnus; S.Emerald Ave. and 78th""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/522,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/522,,1913,"Fourth Church of Christ, Scientist, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 19

mms_sloan_bx_1_fl_19_03_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""67th St. Blvd., N. E. corner Harvard""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/523,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/523,,1938,"House, Glenlake, Illinois, March 27, 1938
","
Photographs
tiff","
",Housing,Dwellings,"Architecture, Domestic
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Glenlake
",,,,,"Midwest MS Sloan Box 2 Folder 49

mms_sloan_bx_2_fl_49_06_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""West near Glen Lake; not found; March 27, 1938""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/524,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/524,,1913,"Harper Memorial Library, University of Chicago, 1913
","
Photographs
tiff","
",University of Chicago,Libraries,Academic libraries,Library buildings,Universities and colleges,College facilities,"College buildings
",,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 31

mms_sloan_bx_1_fl_31_07_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Harper Memorial Library, 1913, from S.E""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/525,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/525,1925,1900,"Municipal Center, Lake Forest, Illinois, early 20th century
","
Photographs
tiff","
",Central business districts,Towers,Civic centers,Municipal buildings,"Public buildings
",,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Lake Forest
",,,,,"Midwest MS Sloan Box 2 Folder 43

mms_sloan_bx_2_fl_43_15_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Lake Forest, Municipal Center, North West group""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/526,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/526,1925,1900,"Colonial style house, Chicago, early 20th century
","
Photographs
tiff","
","Architecture, Colonial",Housing,"Architecture, Domestic","Dwellings
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 33

mms_sloan_bx_1_fl_33_13_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""1312 E. 58th St.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/527,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/527,,1913,"Saint Josaphat Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 16

mms_sloan_bx_1_fl_16_14_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St. Josaphat, Southport and Belden Ave.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/528,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/528,1925,1900,"Jonathan Ogden Armour estate, Lake Forest, Illinois, early 20th century
","
Photographs
tiff","
","Armour, J. Ogden (Jonathan Ogden), 1863-1927",Gates,Housing,Dwellings,"Architecture, Domestic
",,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Lake Forest
",,,,,"Midwest MS Sloan Box 2 Folder 45

mms_sloan_bx_2_fl_45_02_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Entrance, Armour Est., Lake Forest""--Photograph verso.",,,
